" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Mokotów,LO,"CLVI Liceum Ogólnokształcące Integracyjne ""Przy Łazienkach Królewskich""","1A [I-o] pol-wos (ang-hisz*,niem*)","99,6","111,78","127,2"
Mokotów,LO,"CLVI Liceum Ogólnokształcące Integracyjne ""Przy Łazienkach Królewskich""","1B [I-o] inf-ang (ang-hisz*,niem*)","84,8","115,10","162,5"
Mokotów,LO,"CLVI Liceum Ogólnokształcące Integracyjne ""Przy Łazienkach Królewskich""","1C [I-o] biol-chem-ang (ang-hisz*,niem*)","95,6","118,76","152,4"
Mokotów,LO,CX Liceum Ogólnokształcące im. Roberta Schumana,1A [O] hiszp-pol-hist (hisz*-ang),"71,4","96,66","129,6"
Mokotów,LO,CX Liceum Ogólnokształcące im. Roberta Schumana,1B1 [O] geogr-wos-ang (ang-wlo),"87,2","108,02","134,6"
Mokotów,LO,CX Liceum Ogólnokształcące im. Roberta Schumana,1B2 [O] geogr-wos-ang (ang-niem),"91,2","106,51","137,8"
Mokotów,LO,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,1A [I-o] mat-fiz-inf (ang-niem),"122,6","128,23",135
Mokotów,LO,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,1B [O] biol-chem (ang-ros),"108,4","125,25","151,2"
Mokotów,LO,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,"1C [O] pol-hist-h.szt. (ang-fra,wlo)",110,"123,30",157
Mokotów,LO,LXV Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. gen. Józefa Bema,"1D [O] pol-hist-wos (ang-niem,ros)",100,"114,34","149,6"
